"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0070727","cellular macromolecule localization","808","2","14.286","2.4696","1.304","0.192501952986955","0.715564860092336","1","0.281877859730899","1","baz,pk","FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0051179","localization","2331","4","28.571","1.7121","0.776","0.194272494472705","0.71158868341628","1","0.282309903360336","1","baz,path,pk,unc-13-4A","FBgn0000163,FBgn0036007,FBgn0003090,FBgn0035756"
"","GO Biological Processes","GO:0048523","negative regulation of cellular process","1605","3","21.429","1.8649","0.899","0.212038757405147","0.673584749501586","1","0.298716627988911","1","CG42458,zfh1,baz","FBgn0259935,FBgn0004606,FBgn0000163"
"","GO Biological Processes","GO:0044085","cellular component biogenesis","1613","3","21.429","1.8556","0.892","0.214199111962793","0.66918233401984","1","0.299878756747911","1","baz,Sdc,unc-13-4A","FBgn0000163,FBgn0010415,FBgn0035756"
"","GO Biological Processes","GO:0048522","positive regulation of cellular process","1669","3","21.429","1.7934","0.843","0.229485625522044","0.639244512531812","1","0.313669283319682","1","pk,baz,Sdc","FBgn0003090,FBgn0000163,FBgn0010415"
"","GO Biological Processes","GO:0048519","negative regulation of biological process","1672","3","21.429","1.7902","0.84","0.23031226403158","0.637682935420789","1","0.313669283319682","1","zfh1,baz,CG42458","FBgn0004606,FBgn0000163,FBgn0259935"
"","GO Biological Processes","GO:0010605","negative regulation of macromolecule metabolic process","914","2","14.286","2.1832","1.126","0.232171369850266","0.63419133620234","1","0.314316089479238","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0009892","negative regulation of metabolic process","970","2","14.286","2.0571","1.041","0.253467249629743","0.596078147667673","1","0.339137998339096","1","CG42458,zfh1","FBgn0259935,FBgn0004606"
"","GO Biological Processes","GO:0033036","macromolecule localization","970","2","14.286","2.0571","1.041","0.253467249629743","0.596078147667673","1","0.339137998339096","1","pk,baz","FBgn0003090,FBgn0000163"
"","GO Biological Processes","GO:0048518","positive regulation of biological process","1781","3","21.429","1.6806","0.749","0.260813573592983","0.583669810244053","1","0.347348007522905","1","baz,Sdc,pk","FBgn0000163,FBgn0010415,FBgn0003090"
"","GO Molecular Function","GO:0043168","anion binding","1024","2","14.286","1.9487","0.963","0.274126143800425","0.562049543202514","1","0.358551234678159","1","baz,eIF5B","FBgn0000163,FBgn0026259"
"","GO Biological Processes","GO:0023052","signaling","1862","3","21.429","1.6075","0.685","0.283974872521364","0.546720086742071","1","0.367120668529872","1","dcma,baz,unc-13-4A","FBgn0085380,FBgn0000163,FBgn0035756"
"","GO Molecular Function","GO:0046872","metal ion binding","1056","2","14.286","1.8896","0.918","0.286398704714302","0.543028950528649","1","0.36819414181648","1","pk,CG32373","FBgn0003090,FBgn0052373"
"","GO Biological Processes","GO:0007154","cell communication","1876","3","21.429","1.5955","0.674","0.288012490724041","0.540588677050165","1","0.36819414181648","1","baz,unc-13-4A,dcma","FBgn0000163,FBgn0035756,FBgn0085380"
"","GO Biological Processes","GO:0007276","gamete generation","1063","2","14.286","1.8772","0.909","0.289084679316208","0.538974924118827","1","0.368743568727785","1","baz,zfh1","FBgn0000163,FBgn0004606"
"","GO Molecular Function","GO:0043169","cation binding","1087","2","14.286","1.8357","0.876","0.298294520999178","0.525354723579527","1","0.378958464715887","1","pk,CG32373","FBgn0003090,FBgn0052373"
